start	stop	nvar	fst
1	25001	4	0.0227272727272727
25001	50001	1	
50001	75001	82	0.7451124144672531
75001	100001	58	0.780881440099317
100001	125001	56	0.8662111309170131
125001	150001	60	0.5976226112231838
150001	175001	69	0.07976314872866595
175001	200001	110	0.7804193373711226
200001	225001	1	
225001	250001	0	
250001	275001	0	
275001	300001	47	0.8471316031124644
300001	325001	46	0.7376830967727287
325001	350001	101	0.8125761157676051
350001	375001	61	0.698997161549588
375001	400001	126	0.6287601794914407
400001	425001	15	0.014692378328741996
425001	450001	7	0.043290043290043274
450001	475001	0	
475001	500001	34	0.279754062362758
500001	525001	0	
525001	550001	47	0.39973882155222495
550001	575001	0	
575001	600001	0	
600001	625001	15	0.48937351433451287
625001	650001	62	0.08660197713088244
650001	675001	87	0.43273734898356486
675001	700001	0	
700001	725001	10	0.016161616161616196
725001	750001	115	0.30498959791485347
750001	775001	86	0.27735153600363077
775001	800001	97	0.2643369663118316
800001	825001	63	0.04860683033107971
825001	850001	120	0.1701072420866765
850001	875001	119	0.13206999427168786
875001	900001	96	0.23631084768525523
900001	925001	23	0.09867909867909865
925001	950001	27	0.04659434815076836
950001	975001	46	0.5099992286649001
975001	1000001	39	0.31710777408106783
1000001	1025001	36	0.5717439136873331
1025001	1050001	26	0.576538838743995
1050001	1075001	0	
1075001	1100001	22	0.08792683532978773
1100001	1125001	69	0.3295291809818862
1125001	1150001	97	0.3710164796796105
1150001	1175001	75	0.3392400992279314
1175001	1200001	0	
1200001	1225001	0	
1225001	1250001	145	0.45946945368910685
1250001	1275001	98	0.37877131975492634
1275001	1300001	214	0.26784790162399263
1300001	1325001	40	0.30053892902190116
1325001	1350001	45	0.1502324835658169
1350001	1375001	21	0.4238171185539607
1375001	1400001	42	0.3655207350440197
1400001	1425001	0	
1425001	1450001	0	
1450001	1475001	10	0.012210457993590584
1475001	1500001	86	0.3524489846464988
1500001	1525001	24	0.02891576711319211
1525001	1550001	31	0.03386087596613907
1550001	1575001	179	0.4872291783850042
1575001	1600001	170	0.5057413814071121
1600001	1625001	205	0.40017113465324267
1625001	1650001	196	0.3138998416976678
1650001	1675001	128	0.04264870931537602
1675001	1700001	29	0.08959156785243745
1700001	1725001	71	0.416595213696663
1725001	1750001	210	0.2960062130054406
1750001	1775001	164	0.3235784269036845
1775001	1800001	160	0.23080893573449124
1800001	1825001	113	0.17590843087536961
1825001	1850001	133	0.1193761175999187
1850001	1875001	147	0.10892837388203862
1875001	1900001	229	0.1780881010828962
1900001	1925001	210	0.08119815051467984
1925001	1950001	141	0.15416994324658778
1950001	1975001	260	0.08411568310756211
1975001	2000001	326	0.10653147452445606
2000001	2025001	328	0.13433235606268462
2025001	2050001	311	0.07213340245480243
2050001	2075001	253	0.11390781883613858
2075001	2100001	261	0.07751783690636743
2100001	2125001	279	0.10591877365608862
2125001	2150001	213	0.12130350564753385
2150001	2175001	295	0.13840117657186438
2175001	2200001	252	0.10714707062126896
2200001	2225001	328	0.13082273316171147
2225001	2250001	222	0.14793943449811173
2250001	2275001	304	0.1094306984215241
2275001	2300001	185	0.05923900076396805
2300001	2325001	72	0.07780172907907489
2325001	2350001	119	0.08114077316619159
2350001	2375001	253	0.3225170462638685
2375001	2400001	245	0.2694716467870248
2400001	2425001	213	0.18035310929058793
2425001	2450001	253	0.20340397114678552
2450001	2475001	255	0.13587799663052708
2475001	2500001	206	0.14459210728579927
2500001	2525001	196	0.09900282453747276
2525001	2550001	131	0.2413592143671433
2550001	2575001	274	0.14332469271724207
2575001	2600001	152	0.2026186596746801
2600001	2625001	233	0.12572225733178097
2625001	2650001	332	0.13853994763263597
2650001	2675001	181	0.10875389439067552
2675001	2700001	242	0.09117578065258433
2700001	2725001	295	0.1495936133648224
2725001	2750001	0	
2750001	2775001	160	0.0946876835516847
2775001	2800001	217	0.0903677820429183
2800001	2825001	228	0.08224349244949863
2825001	2850001	361	0.18541226853774698
2850001	2875001	248	0.07759941629543661
2875001	2900001	314	0.10915986489767159
2900001	2925001	396	0.11358227358128231
2925001	2950001	405	0.1649889325161563
2950001	2975001	89	0.19961310018264292
2975001	3000001	226	0.08478394990864134
3000001	3025001	254	0.17802258471082633
3025001	3050001	166	0.1591063571722204
3050001	3075001	309	0.2225742554488796
3075001	3100001	167	0.26761134209490334
3100001	3125001	257	0.22491119978156768
3125001	3150001	222	0.11746897962984294
3150001	3175001	280	0.08876392566708577
3175001	3200001	247	0.08855296364888188
3200001	3225001	196	0.07129425044734491
3225001	3250001	325	0.1052163961659811
3250001	3275001	238	0.07464993427957718
3275001	3300001	214	0.05495811616830821
3300001	3325001	186	0.043449430688966006
3325001	3350001	291	0.11131773058310895
3350001	3375001	145	0.029024790129431623
3375001	3400001	307	0.07375340708674043
3400001	3425001	364	0.038223885922782135
3425001	3450001	373	0.07509194167054144
3450001	3475001	346	0.04738076911218223
3475001	3500001	309	0.07166378118094074
3500001	3525001	331	0.058048738447465685
3525001	3550001	311	0.057897417942144
3550001	3575001	352	0.03898570565237234
3575001	3600001	306	0.07520439584541815
3600001	3625001	312	0.0502894676878197
3625001	3650001	261	0.04743613437359204
3650001	3675001	234	0.03897533752096645
3675001	3700001	353	0.05093569599288089
3700001	3725001	329	0.05270652107950013
3725001	3750001	215	0.046389575918441193
3750001	3775001	362	0.055936772067596285
